key,en,hy,es,es_ES,es_SV,es_EC,fr,fr_CA,fr_FR,da,ru,uk,sv,de,pt,pl,ia,,Explanation/Context
Competition.defaultFederationAddress,\u0020,"ք․ Սևան, Նաիրյան 128",\u0020,\u0020,Palacio de Los Deportes San Salvador,"Explanada del Estadio Modelo ""Alberto Spencer"". Comité Olímpico Ecuatoriano",\u0020,"C.P. 1000, Succ. M, Montréal, QC, H1V 3R2","7 Rue Roland Martin, 94500 Champigny-sur-Marne","Idrættens Hus, Brøndby Stadion 20, 2605 Brøndby",\u0020,\u0020,"Box 110 16, 100 61 STOCKHOLM",\u0020,\u0020,\u0020,12,,
Competition.defaultFederationEMail,\u0020,martirosyan.ar.2003@gmail.com,\u0020,\u0020,fedepesas@gmail.com,federaciondelevdepesas@gmail.com,\u0020,admin@fedhaltero.qc.ca,contact@ffhaltero.fr,kontor@danskvaegtloeftning.dk,\u0020,\u0020,office@tyngdlyftning.org,\u0020,cblp@cblp.org.br,\u0020,13,,
Competition.defaultFederationWebSite,\u0020,https://gwfweightlifting.wixsite.com/gwfnet,\u0020,\u0020,\u0020,\u0020,\u0020,www.fedhaltero.qc.ca,www.ffhaltero.fr,www.weightlifting.dk,\u0020,\u0020,http://www.tyngdlyftning.com/,\u0020,http://www.cblp.org.br/,\u0020,14,,
CompetitionBook.C_RightHeader,\u0020,\u0020,\u0020,\u0020,\u0020,\u0020,\u0020,,,\u0020,\u0020,\u0020,\u0020,\u0020,\u0020,\u0020,15,,
AnnouncerEtc,"\u0020(announcer, timekeeper, marshal, result boards, attempt board, jury, etc.)","\u0020(գլխ. քարտուղար, ժամապահ, մարշալ, արդյունքների աղյուսակ, փորձի էկրան, ժյուրի, եւ այլն):","\u0020(Locutor, Cronometrador, Marshal, Tablas de Resultados, Tablero de Intentos, Jurado, etc.)","\u0020(Locutor, Cronometrador, Marshal, Tablas de Resultados, Tablero de Intentos, Jurado, etc.)","\u0020(Locutor, Cronometrista, marshal, Tablas de Resultados, Tablero de Intentos, Jurado, etc.)","\u0020(Anunciador, Cronmetrista, Marshal, Planillas de Resultados, Tablero de Intentos, Jurado, etc.)","\u0020(annonceur, chronométreur, changements, résultats, essai courant, jury, etc.)",,,"\u0020(speaker, timekeeper, marshal, result boards, attempt board, jury, osv.)","\u0020(судьи-информатора, судьи-хронометриста, судьи на перезаявках, таблицы результатов, экрана попыток, жюри и т.д.)","\u0020(судді-інформатора, судді-хронометриста, маршала, табло-протоколу, інформаційного табло, журі тощо)","\u0020(speaker, tidtagare, sekreterare, resultattavla, försökstavla , jury, osv.)","\u0020(Sprecher, Zeitnehmer, Steigerung, Ergebnis Anzeige, Anzeige Versuch, Jury, usw.)","\u0020(Locutor, Cronometrista, Marshal, Painéis de Resultados, Painel de Tentativas, Júri etc.)","\u0020(spiker, timekeeper, marshal, tablica wyników, tablica podejść, jury, etc.)",16,,
LocalComputer,\u0020(on the computer running the owlcms program),"\u0020(համակարգչի վրա, որտեղ միացված է OWLCMS-ն)",\u0020(en la computadora que se ejecuta el programa owlcms),\u0020(en la computadora que se ejecuta el programa owlcms),\u0020(en la computadora que se ejecuta el programa owlcms),\u0020(en el computador que se ejecuta el programa owlcms),\u0020(sur l'ordinateur où owlcms s'exécute),,,\u0020(på computeren der afvikler owlcms programmet),\u0020(на компьютере на котором запущена система owlcms),"\u0020(на комп’ютері, на якому запущена система owlcms)",\u0020(på datorn som driver owlcms programmet),\u0020(auf diesem Computer läuft das OWLCMS Programm),\u0020(No computador que executa o programa owlcms),\u0020(na komputerze z uruchomionym programem OWLCMS),17,,
Wired,\u0020(wired),\u0020(մալուխ),\u0020(wired),\u0020(wired),\u0020(wired),\u0020(wired),\u0020(cablé),,,\u0020(kablet),\u0020(кабель),\u0020(кабель),\u0020(kabel),\u0020(verkabelt),\u0020(fio),\u0020(przewodowy),18,,
Wireless,\u0020(wireless),\u0020(անլար),\u0020(wireless),\u0020(wireless),\u0020(wireless),\u0020(wireless),\u0020(sans fil),,,\u0020(wireless),\u0020(беспроводной),\u0020(бездротовий),\u0020(wireless),\u0020(kabellos),\u0020(Rede sem fio),\u0020(bezprzewodowy),19,,
UseAtYourOwnRisk,\u0020are responsible for performing whatever tests are need to establish that the software is fit for your circumstances.,"\u0020պատասխանատու են ցանկացած փորձարկումներ կատարելու համար, որոնք անհրաժեշտ են `ապահովելու համար, որ ծրագրակազմը համապատասխանի ձեր պայմաններին:.",\u0020son responsables de realizar las pruebas necesarias para establecer que el software es adecuado para sus circunstancias.,\u0020son responsables de realizar las pruebas necesarias para establecer que el software es adecuado para sus circunstancias.,\u0020son responsables de realizar las pruebas necesarias para establecer que el software es adecuado para sus circunstancias.,\u0020son responsables de realizar las pruebas necesarias para establecer que el software es adecuado para sus circunstancias.,\u0020êtes responsable d'effectuer les tests requis pour établir que le logiciel répond à vos besoins.,,,\u0020are responsible for performing whatever tests are need to establish that the software is fit for your circumstances.,\u0020несете ответственность за выполнение любых тестов,"\u0020несете відповідальність за виконання будь-яких тестів, щоб встановити, що програмне забезпечення відповідає вашим вимогам.",\u0020are responsible for performing whatever tests are need to establish that the software is fit for your circumstances.,"\u0020sind für die Durchführung aller erforderlichen Tests verantwortlich, um festzustellen, ob die Software für Ihre Umstände geeignet ist.",\u0020são responsáveis ​​por executar os testes necessários para estabelecer que o software é adequado às suas circunstâncias.,"\u0020są odpowiedzialni za wykonanie wszelkich testów, które są potrzebne do ustalenia, czy oprogramowanie jest odpowiednie dla Twoich okoliczności.",20,,
AtTimeOfRelease,"\u0020as published at the time of release.  As stated in the license, there is no guarantee whatsoever regarding this software, and you","\u0020as հրապարակվել է թողարկման պահին: Ինչպես նշված է լիցենզիայի մեջ, ոչ մի երաշխիք չկա՝ այս ծրագրի վերաբերյալ, եւ դուք","\u0020as Publicado en el momento del lanzamiento. Como se indica en la licencia, no hay garantía alguna con respecto a este software, y usted","\u0020as Publicado en el momento del lanzamiento. Como se indica en la licencia, no hay garantía alguna con respecto a este software, y usted","\u0020as Publicado en el momento del lanzamiento. Como se indica en la licencia, no hay garantia alguna con respecto a este software, y usted","\u0020as Publicado en el momento del lanzamiento. Como se indica en la licencia, no hay garantia alguna con respecto a este software, y usted","\u0020tels que disponibles au moment de la publication du logiciel. Tel que mentionné dans la licence, il n'y a aucune garantie et vous",,,"\u0020as published at the time of release.  As stated in the license, there is no guarantee whatsoever regarding this software, and you","\u0020опубликовано на момент релиза.Как указано в лицензии, нет никакой гарантии в отношении этого программного обеспечения, и вы",",\u0020опублікованих на момент реліза. Як вказано в ліцензії, немає жодної гарантії у відношенні до цього програмного забезпечення, і ви","\u0020som publicerades vid tidpunkten för utgivningen. Som anges i licensen finns det ingen garanti för denna programvara, och du","\u0020wie zum Zeitpunkt der Veröffentlichung veröffentlicht. Wie in der Lizenz angegeben, gibt es keinerlei Garantie in Bezug auf diese Software und Sie","\u0020as publicações no momento do lançamento. Como indicado na licença, não há qualquer garantia em relação a este software, e você","\u0020w wersji opublikowanej w momencie wydania. Jak określono w licencji, nie ma żadnej gwarancji dotyczącej tego oprogramowania, a ty",21,,
Semicolon,\u003B,\u003B,\u003B,\u003B,\u003B,\u003B,\u003B,,,\u003B,\u003B,\u003B,\u003B,\u003B,\u003B,\u003B,22,,
Scoreboard.Done,# Athletes Scored (Done Groups),# Մարզիկներ (կատարված խմբեր),# Atletas (Grupos terminados),# Atletas (Grupos terminados),# Atletas (Grupos terminados),# Atletas (Tandas terminadas),# Athlètes comptabilisés (groupes terminés),,,# Atleter (Afsluttede grupper),# Спортсмены (подсчёт),Завершили виступ,# Lyftare (Avslutade grupper),# Gewertete Athleten (fertige Gruppen),# Atletas (Grupos Concluídos),# Punktowani sportowcy (grupy ukończone),23,,
Results.Done,# Athletes Scored (Done Groups),# Մարզիկներ (կատարված խմբեր),# Atletas (Grupos terminados),# Atletas (Grupos terminados),# Atletas (Grupos terminados),# Atletas (Tandas terminadas),# Athlètes comptabilisés (groupes terminés),,,# Atleter (Afsluttede grupper),# Спортсмены (подсчёт),Завершили виступ,# Lyftare (Avslutade grupper),# Gewertete Athleten (fertige Gruppen),# Atletas (Grupos Concluídos),# Punktowani sportowcy (grupy ukończone),24,,
Scoreboard.TeamSize,# Team Members,# Կազմի անդամները,# Miembros del equipo,# Miembros del equipo,# Miembros del equipo,# Miembros del equipo,# Membres,,,# Holddeltagere,# Члены команды,Всього в команді,# Lagmedlemmar,# Mannschaftsmitglieder,# Membros Por Equipe,# Członkowie drużyny,25,,
Results.TeamSize,# Team Members,# Կազմի անդամները,# Miembros del equipo,# Miembros del equipo,# Miembros del equipo,# Miembros del equipo,# Membres,,,# Holddeltagere,# Члены команды,Всього в команді,# Lagmedlemmar,# Mannschaftsmitglieder,# Membros Por Equipe,# Członkowie drużyny,26,,
SeparateLaptops,</ul>,</ul>,</ul>,</ul>,</ul>,</ul>,</ul>,</ul>,</ul>,</ul>,</ul>,</ul>,</ul>,</ul>,</ul>,</ul>,27,,
PrepareCompatition_description,"<li><b>{0}</b>: Enter the competition coordinates, register the athletes, define the groups, etc.<br></li>","<li><b>{0}</b>: Մուտքագրեք մրցումների անցկացման վայրը, գրանցեք մարզիկներին, սահմանեք խմբերը: <br> </li>","<li><b>{0}</b>: Registre las coordenadas de la competición, registre los atletas, definir los grupos, etc.<br></li>","<li><b>{0}</b>: Registre las coordenadas de la competición, registre los atletas, definir los grupos, etc.<br></li>","<li><b>{0}</b>: Registre las coordenadas de la competencia, registre los atletas, definir los grupos, etc.<br></li>","<li><b>{0}</b>: Registre las coordenadas de la competencia, registre los atletas, definir las tandas, etc.<br></li>","<li><b>{0}</b>: Entrer les coordonnées, inscrire les athlètes, définir les groupes, etc.<br></li>",,,"<li><b>{0}</b>: Indtast konkurrence oplysninger, registrer atleter, definér grupper, osv.<br></li>","<li><b>{0}</b>: Введите место проведения соревнований, зарегистрируйте спортсменов, определите потоки и т.д.<br></li>","<li><b>{0}</b>: Введіть місце проведення змагань, зареєструйте спортсменів, визначте потоки і т.д.<br></li>","<li><b> {0} </b>: Ange tävlingsinformation, registrera lyftare, definiera grupper osv. </li><li><b> {0} </b>: Ange tävlingsinformation, registrera lyftare, definiera grupperna osv. </li>","<li><b>{0}</b>: Gib die Wettkampfdaten ein, Registriere die Sportler, definiere Gruppen, usw.<br></li>","<li><b>{0}</b>: Insira as coordenadas da competição, inscreva os atletas, defina os grupos, etc.<br></li>","<li><b>{0}</b>: Wprowadź dane zawodów, zarejestruj sportowców, zdefiniuj grupy itp.<br></li>",28,,
CompetitionDocuments_description,<li><b>{0}</b>: Produce printable documents for each group and the final results package.</li>,<li><b>{0}</b>: Պատրաստեք Ամփոփագրերի խումբը և փաստաթղթերը յուրաքանչյուր խմբի տպելու համար .</li>,<li><b>{0}</b>: Producir documentos imprimibles para cada grupo y el conjunto de resultados finales.</li>,<li><b>{0}</b>: Producir documentos imprimibles para cada grupo y el conjunto de resultados finales.</li>,<li><b>{0}</b>: Producir documentos imprimibles para cada grupo y el paquete de resultados finales.</li>,<li><b>{0}</b>: Producir documentos imprimibles para cada tanda y el paquete de resultados finales.</li>,<li><b>{0}</b>: Produire les résultats imprimables pour chaque groupe et le cahier de compétition .</li>,,,<li><b>{0}</b>: Dan print for hver enkelt gruppe og samlet resultat pakke.</li>,<li><b>{0}</b>: Подготовьте документы для печати для каждого из потоков и пакет итоговых результатов</li>,<li><b>{0}</b>: Підготовка документів для друку по кожному із потоків та пакет підсумкових результатів</li>,<li><b>{0}</b>: Skapa utskrivbara dokument för varje grupp och det slutliga resultatpaketet.</li>,<li><b>{0}</b>: Erstelle ein druckbares Dokumenten-Paket für jede Gruppe mit den endgültigen Ergebnissen.</li>,<li> <b>{0}</b>: Imprima os resultados de cada grupo e pacote de resultados.</li>,<li><b>{0}</b>: Twórz dokumenty do druku dla każdej grupy i pakiet wyników końcowych.</li>,29,,
RunLiftingGroup_description,"<li><b>{0}</b>: Start the screens for the announcer, the marshal, the timekeeper. The announcer controls which group is shown on the displays.</li>","<li><b> {0} </b>: Միացրեք հաղորդավարի, մարշալի և ժամապահի էկրանները: Հաղորդավարը հսկում է անհրաժեշտ խմբերը՝ էկրանի վրա </li>","<li><b>{0}</b>: Iniciar la pantalla para locutor, el marshal, el cronometrador. El locutor controla qué grupo se muestra en las pantallas.</li>","<li><b>{0}</b>: Iniciar la pantalla para locutor, el marshal, el cronometrador. El locutor controla qué grupo se muestra en las pantallas.</li>","<li><b>{0}</b>: Iniciar la pantalla para locutor, el marshal, el timekeeper. El locutor controla que grupo se muestra en las pantallas.</li>","<li><b>{0}</b>: Iniciar la pantalla para el Anunciador, el Marshal, el Cronometrista. El Anunciador controla qué tanda se muestra en las pantallas.</li>","<li><b>{0}</b>: Lancer les écrans pour les officiels (annonceur, chrono, préposé aux changements). L''annonceur choisit le groupe en cours.</li>",,,"<li><b>{0}</b>: Start skærmbillede for speaker, marshal, timekeeper. Speakeren styrer hvilken gruppen der vises på displays og skærme.</li>","<li><b>{0}</b>: Запустите экраны для судьи-информатора, судьи на перезаявках и судьи-хронометриста. Судья-информатор контролирует какой поток отображается на экранах.</li>","<li><b>{0}</b>: Запуск екранів для судді-інформатора, маршала та судді-хронометриста. Суддя-інформатор контролює який потік відображається на екранах.</li>","<li><b> {0} </b>: Starta skärmarna för Speaker, Sekreterare, Tidtagare. Speaker styr vilken grupp som visas på skärmarna. </li>","<li><b>{0}</b>: Starte die Anzeigen für Sprecher, Steigerung und Zeitnehmer. Der Sprecher kontrolliert welche Gruppe angezeigt wird.</li>","<li><b>{0}</b>: Inicia as telas para o Locutor, Marshal e o Cronometrista. O locutor controla qual grupo é exibido nas TVs.</li>","<li><b>{0}</b>: Uruchom ekrany dla spikera, marshal, timekeeper. Spiker kontroluje, która grupa jest pokazywana na wyświetlaczach.</li>",30,,
StartDisplays_description,"<li><b>{0}</b>: Used to start the attempt board, the athlete-facing board, and the scoreboard.</li>","<li><b> {0} </b>: Օգտագործվում է փորձի էկրանի, մարզիկի էկրանի և արդյունքների աղյուսակի միացման համար . </li>","<li><b>{0}</b>: Usa para iniciar el tablero de intentos, el tablero que mira el atleta, y el marcador.</li>","<li><b>{0}</b>: Usa para iniciar el tablero de intentos, el tablero que mira el atleta, y el marcador.</li>","<li><b>{0}</b>: Usa para iniciar el tablero de intentos, el tablero que mira el atleta, y el marcador.</li>","<li><b>{0}</b>: Usa para iniciar el tablero de intentos, la pantalla que mira el atleta, y el marcador.</li>","<li><b>{0}</b>: Lancer les tableaux de résultats, l''affichage de l''essai courant, et l''affichage pour l''athlète.</li>",,,"<li><b>{0}</b>: Bruges til at starte Attempt board, Atlet-vendt Attempt Board og Scoreboard.</li>","<li><b>{0}</b>: Используется для запуска экрана попытки, экрана атлета и таблицы результатов.</li>","<li><b>{0}</b>: Використовується для запуску інформаційного табло, секундоміра та табло-протоколу.</li>","<li><b> {0} </b>: Används för att starta försökstavla, lyftarskärm och resultattavlan. </li>","<li><b>{0}</b>: Dient zum Starten der Versuchsanzeige, der Anzeige für den Athleten und der Anzeigetafel.</li>","<li><b>{0}</b>: Usado para iniciar o painel de tentativas, o painel voltado para o atleta e a sumula.</li>","<li><b>{0}</b>: Służy do uruchomienia tablicy podejścia, tablicy skierowanej do zawodnika oraz tablicy wyników.</li>",31,,
TranslationDocumentation,<li>Contribute by translating the application to your own language: see the <a href='https://owlcms.github.io/owlcms4/#/Translation'>translation documentation</a>.,"Թարգմանեք ծրագիրը Ձեր ընտրած լեզվով, տես <a href='https://owlcms.github.io/owlcms4/#/Translation'> փաստաթղթերի թարգմանություն </a>",<li> Contribuya traduciendo la aplicación a su propio idioma: consulte la <a href='https://owlcms.github.io/owlcms4/#/Translation'> documentación de traducción </a>.,<li> Contribuya traduciendo la aplicación a su propio idioma: consulte la <a href='https://owlcms.github.io/owlcms4/#/Translation'> documentación de traducción </a>.,<li> Contribuya traduciendo la aplicación a su propio idioma: consulte la <a href='https://owlcms.github.io/owlcms4/#/Translation'> documentación de traducción </a>.,<li> Contribuya traduciendo la aplicación a su propio idioma: consulte la <a href='https://owlcms.github.io/owlcms4/#/Translation'> documentación de traducción </a>.,<li>Traduire l'application dans votre propre langue: voir la  <a href='https://owlcms.github.io/owlcms4/#/Translation'>documentation de traduction</a>.,,,<li>Contribute by translating the application to your own language: see the <a href='https://owlcms.github.io/owlcms4/#/Translation'>translation documentation</a>.,Переведите приложение на свой собственный язык: см. <a href='https://owlcms.github.io/owlcms4/#/Translation'> перевод документации</a>.,Перекладіть застосунок на свою власну мову: див. <a href='https://owlcms.github.io/owlcms4/#/Translation'> документацію по перекладу</a>.,<li>Contribute by translating the application to your own language: see the <a href='https://owlcms.github.io/owlcms4/#/Translation'>translation documentation</a>.,"<li>Tragen Sie dazu bei, indem Sie die Anwendung in Ihre Sprache übersetzen: siehe <a href='https://owlcms.github.io/owlcms4/#/Translation'>Dokumentation Überstzung</a>.",<li> Contribua traduzindo o aplicativo para o seu próprio idioma: consulte a <a href='https://owlcms.github.io/owlcms4/#/Translation'> documentação de tradução </a>.,"<li>Wesprzyj, tłumacząc aplikację na swój język: zobacz <a href='https://owlcms.github.io/owlcms4/#/Translation'>dokumentację tłumaczenia</a>.",32,,
Documentation,<li>See also the <a href='https://owlcms.github.io/owlcms4/#/index'>documentation</a> for\u0020installation and configuration information.,<li>Տես նաեւ <a href='https://owlcms.github.io/owlcms4/#/index'> փաստաթղթերը </a> համար \u0020տեղադրման  եւ կարգավորման .,<li> Consulte también la <a href='https://owlcms.github.io/owlcms4/#/index'> documentación </a> para obtener información sobre la instalación y la configuración.,<li> Consulte también la <a href='https://owlcms.github.io/owlcms4/#/index'> documentación </a> para obtener información sobre la instalación y la configuración.,<li> Consulte también la <a href='https://owlcms.github.io/owlcms4/#/index'> documentación </a> para obtener información sobre la instalación y la configuración.,<li> Consulte también la <a href='https://owlcms.github.io/owlcms4/#/index'> documentación </a> para obtener información sobre la instalación y la configuración.,<li>Voir aussi la <a href='https://owlcms.github.io/owlcms4/#/index'>documentation</a> pour\u0020instructions d'installation et de configuration,,,<li>Se endvidere dokumentation på <a href='https://owlcms.github.io/owlcms4/#/index'>documentation</a> for\u0020installation and configuration information.,См. также<a href='https://owlcms.github.io/owlcms4/#/index'> документацию</a> для\u0020инструкция по установке и настройке.,Див. також<a href='https://owlcms.github.io/owlcms4/#/index'> документацію</a> для\u0020інструкцій з установки та налаштування.,<li>Se även <a href='https://owlcms.github.io/owlcms4/#/index'>dokumentation</a> för\u0020installation och konfigurations information.,<li>Siehe auch die <a href='https://owlcms.github.io/owlcms4/#/index'>Dokumentation</a> für\u0020Installations- und Konfigurationsinformationen.,<li>Veja também o <a href='https://owlcms.github.io/owlcms4/#/index'>documentação</a> para instalação e informações de configuração.,"<li>Zobacz także <a href='https://owlcms.github.io/owlcms4/#/index'>dokumentację</a>, aby uzyskać informacje o instalacji i konfiguracji.",33,,
